

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	50.0	0.0	50.0
	2006	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	16.666666666666664	25.0	0.0	0.0	33.33333333333333	0.0
	2008	0.0	0.0	0.0	33.33333333333333	0.0	66.66666666666666	50.0	25.0	50.0	0.0	40.0	50.0
	Total # checklists submitted - (2004)	1	0.0	0.0	1	0.0	2	1	2	3	0	4	2
	Total # checklists submitted - (2005)	0.0	0.0	0.0	1	1	2	1	2	2	2	2	2
	Total # checklists submitted - (2006)	1	0.0	2	0	2	0.0	1	0	0	0.0	2	2
	Total # checklists submitted - (2007)	2	2	1	2	3	3	6	4	2	1	3	1
	Total # checklists submitted - (2008)	1	1	4	3	3	3	2	4	6	1	5	2
	
Abundance
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	2.0	25.0	0.0	0.0	66.66666666666667	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.4	0.0
	Total # checklists submitted - (2004)	1	0.0	0.0	1	0.0	2	1	2	3	0	4	2
	Total # checklists submitted - (2005)	0.0	0.0	0.0	1	1	2	1	2	2	2	2	2
	Total # checklists submitted - (2006)	1	0.0	2	0	2	0.0	1	0	0	0.0	2	2
	Total # checklists submitted - (2007)	2	2	1	2	3	3	6	4	2	1	3	1
	Total # checklists submitted - (2008)	1	1	4	3	3	3	2	4	6	1	5	2
	
Birds Per Party Hour
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	50.0	0.0
	2008	0.0	0.0	1.0	0.0	0.25	0.0	13.333333333333334	37.5	0.46146746654360865	0.0	0.4799616030717543	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	1	0	1	0	1	2	1	0.0	1	0
	
High Count
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0	1
	2006	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	1	1
	2007	0.0	0.0	0.0	0.0	0.0	0.0	12	100	0.0	0.0	200	0.0
	2008	0.0	0.0	1	1	1	1	20	50	1	0.0	2	1
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	2	0.0	1
