

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	33.33333333333333	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	50.0	33.33333333333333	33.33333333333333	0.0	50.0	66.66666666666666	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	25.0	100.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33333333333333	0.0	0.0	0.0	0.0	50.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	66.66666666666666	50.0	0.0	0.0	0.0	14.285714285714285	0.0	0.0	0.0	50.0	50.0	0.0	0.0	33.33333333333333	100.0	0.0	0.0	100.0	0.0	50.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	50.0	50.0	33.33333333333333	0.0	50.0	50.0	100.0	33.33333333333333	100.0	0.0	0.0	50.0	50.0	0.0	33.33333333333333	100.0	50.0	0.0	50.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	100.0	66.66666666666666	33.33333333333333	33.33333333333333	50.0	100.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	33.33333333333333	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2004)	2	0.0	1	2	1	1	2	1	1	1	1	1	1	6	0.0	6	1	1	3	3	1	0.0	1	1	1	3	0	4	1	3	3	5	1	1	0.0	1	1	4	3	3	1	2	3	0.0	2	2	1	0
	Total # checklists submitted - (2005)	1	1	0.0	1	1	1	1	1	0.0	1	1	0	2	0.0	4	3	2	0	3	2	2	2	0.0	1	0.0	3	1	2	1	2	2	4	1	1	0.0	2	1	1	1	1	3	0.0	1	1	1	2	1	2
	Total # checklists submitted - (2006)	1	1	0	0.0	1	1	2	2	0.0	1	0	4	2	0.0	3	2	2	2	2	7	1	2	5	2	4	1	1	3	1	1	2	1	1	2	2	1	4	4	1	1	2	1	1	1	1	0.0	0	3
	Total # checklists submitted - (2007)	2	1	1	2	1	1	1	1	1	2	2	4	2	4	3	1	2	2	1	3	1	1	0.0	2	2	0	3	1	2	1	6	1	0.0	1	1	0.0	1	1	0	0	1	1	1	1	0.0	0	0	1
	Total # checklists submitted - (2008)	1	0.0	0.0	0.0	2	1	0.0	0.0	0.0	4	3	4	5	1	3	3	3	2	1	0	1	0.0	1	8	4	1	1	3	1	0.0	0	1	0.0	0	0.0	0.0	0.0	1	1	0	0.0	0.0	2	1	0.0	0.0	0	0.0
	
Abundance
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	180.33333333333334	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.5	0.0	30.0	5.0	7.0	7.0	5.5	0.0	3.0	3.0	0.0	0.0	0.0	0.0
