

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2009	0.0	0.0	0.0	33.33333333333333	0.0	100.0	100.0	100.0	0.0	50.0	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	33.33333333333333	50.0	0.0	100.0	50.0	0.0
	2013	0.0	0.0	0.0	0.0	66.66666666666666	75.0	66.66666666666666	75.0	33.33333333333333	40.0	0.0	0.0
	Total # checklists submitted - (2009)	0	0	0.0	3	0.0	3	1	1	0.0	2	0	2
	Total # checklists submitted - (2010)	1	0.0	0.0	1	0.0	0.0	0	0.0	0.0	3	0.0	0.0
	Total # checklists submitted - (2011)	1	0.0	0.0	0	0.0	0	1	0.0	2	5	2	3
	Total # checklists submitted - (2012)	0.0	1	2	2	1	2	3	2	1	1	2	0.0
	Total # checklists submitted - (2013)	2	3	0.0	2	3	4	3	4	3	5	4	0
	
Abundance
	2009	0.0	0.0	0.0	5.0	0.0	10.666666666666666	40.0	1.0	0.0	0.5	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	0.5	0.0
	2013	0.0	0.0	0.0	0.0	1.6666666666666667	2.5	2.0	1.75	0.0	600.0	0.0	0.0
	Total # checklists submitted - (2009)	0	0	0.0	3	0.0	3	1	1	0.0	2	0	2
	Total # checklists submitted - (2010)	1	0.0	0.0	1	0.0	0.0	0	0.0	0.0	3	0.0	0.0
	Total # checklists submitted - (2011)	1	0.0	0.0	0	0.0	0	1	0.0	2	5	2	3
	Total # checklists submitted - (2012)	0.0	1	2	2	1	2	3	2	1	1	2	0.0
	Total # checklists submitted - (2013)	2	3	0.0	2	3	4	3	4	3	5	4	0
	
Birds Per Party Hour
	2009	0.0	0.0	0.0	10.0	0.0	5.25	80.0	0.6666666666666666	0.0	1.0	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	36.144578313253014	1.0	0.0	0.0	0.4	0.0
	2013	0.0	0.0	0.0	0.0	2.0	2.273746933052927	3.555555555555556	3.156862745098039	0.0	6988.023952095808	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	0.0	2	1	1	0.0	1	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	2	3	2	3	0	2	0.0	0.0
	
High Count
	2009	0.0	0.0	0.0	15	0.0	30	40	1	0.0	1	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0.0	1	1	0.0
	2013	0.0	0.0	0.0	0.0	4	8	4	4	1	2000	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	0.0	3	1	1	0.0	1	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	1	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	2	3	3	3	1	2	0.0	0.0
	
Totals
	2009	0.0	0.0	0.0	15	0.0	32	40	1	0.0	1	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	3	1	0.0	0	1	0.0
	2013	0.0	0.0	0.0	0.0	5	10	7	7	0	3000	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	0.0	2	1	1	0.0	1	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	2	3	3	3	0	2	0.0	0.0
	
Average Count
	2009	0.0	0.0	0.0	15.0	0.0	16.0	40.0	1.0	0.0	1.0	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0
	2013	0.0	0.0	0.0	0.0	2.5	3.3333333333333335	2.3333333333333335	2.3333333333333335	0.0	1500.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	0.0	2	1	1	0.0	1	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	2	3	3	3	0	2	0.0	0.0
	
